date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:34	13659/13659	---MCZ	200	added ('OK')	text/css	etag:W/%22a798a031195c2902066d207ca0630743%22	https://d1di2lzuh97fh2.cloudfront.net/files/2w/2wm/2wmnsz.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/2w/2wm/2wmnszea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:34	30106/30106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7e017d8e028439540be1f8e7d0311d3-1%22	https://d1di2lzuh97fh2.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	(from https://deliciasdiabeticas.webnode.es/)
22:21:34	94333/94333	---MCZ	200	added ('OK')	text/css	etag:W/%221615d5e0c3b94ef87c42cd22f9286181%22	https://d1di2lzuh97fh2.cloudfront.net/files/0d/0ds/0dscwu.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/0d/0ds/0dscwuea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:34	692899/692899	---M--	200	added ('OK')	image/jpeg	etag:%226df2cc72d40fb37c9a7c88bebba9d1c4%22	https://d1di2lzuh97fh2.cloudfront.net/files/1w/1wn/1wn1s7.jpg?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/1w/1wn/1wn1s7ea77.jpg	(from https://deliciasdiabeticas.webnode.es/)
22:21:34	84037/84037	---M--	200	added ('OK')	image/png	etag:%2203d95881eed4db0f5c6f902164922deb%22	https://d1di2lzuh97fh2.cloudfront.net/files/02/02e/02ei6g.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/02/02e/02ei6gea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:35	64575/64575	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Oct%202023%2020:21:35%20GMT	https://deliciasdiabeticas.webnode.es/home/	C:/My%20Web%20Sites/diabetes/deliciasdiabeticas.webnode.es/home/index.html	(from https://deliciasdiabeticas.webnode.es/)
22:21:35	328100/328100	---M--	200	added ('OK')	image/png	etag:%229eba76f24e260969ddd64f8fc54ca8fe%22	https://c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000002-0b8640b866/imagen_2023-10-04_162351230-removebg-preview.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000002-0b8640b866/imagen_2023-10-04_162351230-removebg-previewea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:35	232939/232939	---M--	200	added ('OK')	image/png	etag:%22ad4f0d23a1554b9f54958aa418cc2000%22	https://c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000004-9848c9848d/imagen_2023-10-04_170413568-removebg-preview.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000004-9848c9848d/imagen_2023-10-04_170413568-removebg-previewea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:35	390522/390522	---M--	200	added ('OK')	image/png	etag:%229fbe4d73b0ebbf8aaae0270dacb71ead%22	https://c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000006-2704e2704f/imagen_2023-10-04_171113852-removebg-preview.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000006-2704e2704f/imagen_2023-10-04_171113852-removebg-previewea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:36	193806/193806	---M--	200	added ('OK')	image/png	etag:%22bb74fa1f4d62abf7109739013c89257a%22	https://c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000008-d6169d616a/imagen_2023-10-04_171342747-removebg-preview.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000008-d6169d616a/imagen_2023-10-04_171342747-removebg-previewea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:36	189770/189770	---M--	200	added ('OK')	image/png	etag:%222a5c4f9b389eea230224eda800f74b16%22	https://c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000020-db388db389/imagen_2023-10-05_173010021-removebg-preview.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000020-db388db389/imagen_2023-10-05_173010021-removebg-previewea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:36	193061/193061	---M--	200	added ('OK')	image/png	etag:%226777d0fbeb9cc174c7d9ffca5c391a60%22	https://c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000024-cef64cef66/CONTROLA_TU_DIABETES_AHORA__4_-removebg-preview.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000024-cef64cef66/CONTROLA_TU_DIABETES_AHORA__4_-removebg-previewea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:36	208364/208364	---M--	200	added ('OK')	image/png	etag:%229866081078ebe50203a7a9347ea258b4%22	https://c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000022-5264c5264d/imagen_2023-10-05_174107431-removebg-preview.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000022-5264c5264d/imagen_2023-10-05_174107431-removebg-previewea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:36	23594/23594	---M--	200	added ('OK')	image/png	etag:%22f0a79622e6f6238181630e1430783ad3%22	https://c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000016-5ffba5ffbb/imagen_2023-10-05_171721146-removebg-preview.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/c3664e0b2f.cbaul-cdnwnd.com/df4a4d536de6d8ee2e98c531f70d9b2e/200000016-5ffba5ffbb/imagen_2023-10-05_171721146-removebg-previewea77.png	(from https://deliciasdiabeticas.webnode.es/)
22:21:37	27074/27074	---M--	200	added ('OK')	image/jpeg	etag:%22439089958b782162581785e878f05530%22	https://d1di2lzuh97fh2.cloudfront.net/files/16/166/166hll.png?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/16/166/166hllea77.jpg	(from https://deliciasdiabeticas.webnode.es/)
22:21:37	573653/573653	---MCZ	200	added ('OK')	application/javascript	etag:W/%229bf0fe295acea812cf33c2a3c24ea04b%22	https://d1di2lzuh97fh2.cloudfront.net/files/2p/2pc/2pcq1u.js?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/2p/2pc/2pcq1uea77.js	(from https://deliciasdiabeticas.webnode.es/)
22:21:37	1282/1282	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252d658c022483775278a05fa09274b06-1%22	https://d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/lang.es.1244.js?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/lang.es.1244ea77.js	(from https://deliciasdiabeticas.webnode.es/)
22:21:38	182644/182644	---MCZ	200	added ('OK')	application/javascript	etag:W/%228da7405001a5da7f56d013700e74b63b-1%22	https://d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/compiled.multi.2-1597.js?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/compiled.multi.2-1597ea77.js	(from https://deliciasdiabeticas.webnode.es/)
22:21:38	31746/31746	---M--	200	added ('OK')	image/png	etag:%22d634601234cf6398df3a16238b257112%22	https://d1di2lzuh97fh2.cloudfront.net/files/3p/3pq/3pq60x.png	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/3p/3pq/3pq60x.png	(from https://d1di2lzuh97fh2.cloudfront.net/files/13/13c/13clcn.css?ph=c3664e0b2f)
